"Año","Fecha","Destino","Descripción","Documento"
2020,"29-01-2020","MEXICO","“FORO INTERNACIONAL DE PROTECCIÓN DE DATOS PERSONALES.BASES DE DATOS PARA LA PERSECUCIÓN DEL DELITO Y LA RENDICIÓN DE CUENTAS”","https://www.ctpdandalucia.es/sites/default/files/inline-files/01%20VIAJE%20A%20MEXCIO%20DEL%2029%20DE%20ENERO%20AL%202%20DE%20FEBRERO%20DE%202020.pdf"
2020,"05-02-2020","SANTIAGO DE COMPOSTELA","XVII FORO DE SEGURIDAD Y PROTECCIÓN DE DATOS DE SALUD","https://www.ctpdandalucia.es/sites/default/files/inline-files/01%20VIAJE%20A%20SANTIAGO%20DE%20COMPOSTELA%20DEL%205%20AL%206%20DE%20FEBRERO%20DE%202020.pdf"
2020,"03-03-2020","MADRID","R/ DE TRABAJOS EN LA FUNDACIÓN DEMOCRACIA Y GOBIERNO LOCAL Y CON EL CONSEJO DE TRANSPARENCIA Y BUEN GOBIERNO","https://www.ctpdandalucia.es/sites/default/files/inline-files/03%20VIAJE%20A%20MADRID%203%20Y%204%20DE%20MARZO%20DE%202020.pdf"
2020,"25-11-2020","MADRID","R/ DE TRABAJO CON EL CONSEJO DE TRANSPARENCIA Y BUEN GOBIERNO Y IX FORO DE LAS AUTONOMÍAS","https://www.ctpdandalucia.es/sites/default/files/inline-files/04%20VIAJE%20A%20MADRID%20DEL%2025%20AL%2026%20DE%20NOVIEMBRE%20DE%202020.pdf"
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
